date,year,eyci,adjeyci
27/11/1998,1998.990639,199.00,249.20
30/11/1998,1998.998858,199.00,249.20
01/12/1998,1999.00274,197.00,246.69
02/12/1998,1999.005479,196.75,246.38
03/12/1998,1999.008219,195.75,245.13
04/12/1998,1999.010959,195.25,244.50
07/12/1998,1999.019178,194.00,242.94
08/12/1998,1999.021918,193.75,242.62
09/12/1998,1999.024658,193.25,242.00
10/12/1998,1999.027397,193.00,241.68
11/12/1998,1999.030137,194.00,242.94
14/12/1998,1999.038356,194.25,243.25
15/12/1998,1999.041096,193.75,242.62
16/12/1998,1999.043836,193.25,242.00
17/12/1998,1999.046575,193.75,242.62
18/12/1998,1999.049315,193.50,242.31
21/12/1998,1999.057534,194.25,243.25
22/12/1998,1999.060274,195.75,245.13
23/12/1998,1999.063014,195.00,244.19
08/01/1999,1999.105251,196.25,242.16
11/01/1999,1999.11347,197.75,244.02
12/01/1999,1999.11621,198.00,244.32
13/01/1999,1999.11895,198.00,244.32
14/01/1999,1999.121689,198.00,244.32
15/01/1999,1999.124429,198.25,244.63
18/01/1999,1999.132648,198.25,244.63
19/01/1999,1999.135388,198.75,245.25
20/01/1999,1999.138128,198.75,245.25
21/01/1999,1999.140868,198.75,245.25
22/01/1999,1999.143607,198.50,244.94
25/01/1999,1999.151826,198.00,244.32
26/01/1999,1999.154566,197.50,243.71
27/01/1999,1999.157306,198.75,245.25
28/01/1999,1999.160046,199.25,245.87
29/01/1999,1999.162785,201.25,248.33
01/02/1999,1999.169406,203.25,250.80
02/02/1999,1999.172146,203.00,250.49
03/02/1999,1999.174886,203.50,251.11
04/02/1999,1999.177626,204.25,252.04
05/02/1999,1999.180365,203.50,251.11
08/02/1999,1999.188584,203.00,250.49
09/02/1999,1999.191324,202.75,250.18
10/02/1999,1999.194064,202.75,250.18
11/02/1999,1999.196804,203.00,250.49
12/02/1999,1999.199543,203.25,250.80
15/02/1999,1999.207763,203.25,250.80
16/02/1999,1999.210502,204.50,252.34
17/02/1999,1999.213242,204.75,252.65
18/02/1999,1999.215982,204.50,252.34
19/02/1999,1999.218721,204.75,252.65
22/02/1999,1999.226941,205.50,253.58
23/02/1999,1999.22968,206.00,254.20
24/02/1999,1999.23242,206.00,254.20
25/02/1999,1999.23516,206.00,254.20
26/02/1999,1999.2379,207.75,256.35
01/03/1999,1999.25274,209.25,258.21
02/03/1999,1999.255479,211.00,260.36
03/03/1999,1999.258219,212.00,261.60
04/03/1999,1999.260959,212.75,262.52
05/03/1999,1999.263699,213.25,263.14
08/03/1999,1999.271918,213.00,262.83
09/03/1999,1999.274658,213.00,262.83
10/03/1999,1999.277397,212.75,262.52
11/03/1999,1999.280137,212.50,262.22
12/03/1999,1999.282877,213.25,263.14
15/03/1999,1999.291096,214.50,264.68
16/03/1999,1999.293836,215.25,265.61
17/03/1999,1999.296575,216.00,266.53
18/03/1999,1999.299315,216.00,266.53
19/03/1999,1999.302055,215.75,266.23
22/03/1999,1999.310274,216.50,267.15
23/03/1999,1999.313014,217.25,268.08
24/03/1999,1999.315753,218.00,269.00
25/03/1999,1999.318493,219.00,270.24
26/03/1999,1999.321233,219.75,271.16
29/03/1999,1999.329452,221.50,273.32
30/03/1999,1999.332192,222.50,274.56
31/03/1999,1999.334932,222.00,273.94
01/04/1999,1999.336073,222.75,274.86
06/04/1999,1999.349772,228.00,281.34
07/04/1999,1999.352511,231.25,285.35
08/04/1999,1999.355251,231.50,285.66
09/04/1999,1999.357991,233.75,288.44
12/04/1999,1999.36621,233.75,288.44
13/04/1999,1999.36895,233.50,288.13
14/04/1999,1999.371689,233.25,287.82
15/04/1999,1999.374429,232.00,286.28
16/04/1999,1999.377169,230.50,284.43
19/04/1999,1999.385388,228.75,282.27
20/04/1999,1999.388128,226.75,279.80
21/04/1999,1999.390868,226.00,278.87
22/04/1999,1999.393607,226.50,279.49
23/04/1999,1999.396347,226.00,278.87
26/04/1999,1999.404566,226.00,278.87
27/04/1999,1999.407306,225.00,277.64
28/04/1999,1999.410046,223.50,275.79
29/04/1999,1999.412785,222.50,274.56
30/04/1999,1999.415525,222.25,274.25
